,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
80,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
81,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(1.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,
82,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
83,"(0.0, 21.5, 2)","(0.0, 14.0, 3)","(0.0, 8.5, 4)",,,,,,,,,,,,,
84,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)","(0.0, 41.0, 10)","(0.0, 17.5, 11)","(0.0, 7.0, 12)","(0.0, 22.0, 13)","(0.0, 31.5, 14)",,,,,
85,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
86,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
87,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
88,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
89,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
90,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(20.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)","(0.0, 41.0, 10)",,,,,,,,,
91,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
92,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
93,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
94,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(1.0, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(1.0, 30.0, 9)","(0.0, 41.0, 10)","(0.0, 17.5, 11)","(0.0, 7.0, 12)",,,,,,,
95,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
96,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
97,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
98,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
